n,w,time,res
75,15,306306,86
76,15,328059,86
77,15,446041,86
78,15,417307,86
79,15,596798,88
80,15,604037,88
81,15,672492,88
82,15,685930,88
83,15,994970,99
84,15,894185,99
85,15,911894,99
86,15,1159740,107
87,15,1486899,107
88,15,1930192,107
89,15,2102026,107
90,15,2094091,107
91,15,2101650,107
92,15,2767246,107
93,15,2091507,107
94,15,2353075,107
95,15,2397321,107
96,15,2372072,107
97,15,2526012,107
98,15,2681695,107
99,15,2380939,107
0,16,60,0
1,16,66,3
2,16,97,11
3,16,111,11
4,16,148,22
5,16,223,29
6,16,240,29
7,16,326,29
8,16,428,38
9,16,453,38
10,16,531,38
11,16,769,40
12,16,841,40
13,16,1334,40
14,16,1673,49
15,16,1310,49
16,16,1410,49
17,16,1570,49
18,16,1735,49
19,16,1921,49
20,16,1923,49
21,16,2786,62
22,16,2962,62
23,16,3227,62
24,16,4108,62
25,16,5748,62
26,16,5671,62
27,16,6432,62
28,16,7233,62
29,16,10417,62
30,16,9163,62
31,16,10322,62
32,16,11090,62
33,16,10216,62
34,16,11694,62
35,16,12618,62
36,16,12019,62
37,16,14755,65
38,16,15061,65
39,16,17156,65
40,16,21215,65
41,16,20202,65
42,16,23726,77
43,16,22696,77
44,16,26656,77
45,16,24428,77
46,16,26338,77
47,16,24671,77
48,16,27472,77
49,16,32253,77
50,16,38583,77
51,16,30867,77
52,16,34765,77
53,16,48489,77
54,16,48920,77
55,16,50685,77
56,16,55716,77
57,16,55381,77
58,16,53482,77
59,16,63780,77
60,16,63199,77
61,16,78016,79
62,16,101318,84
63,16,135739,93
64,16,139668,93
65,16,160976,93
66,16,164920,93
67,16,227632,94
68,16,226803,94
69,16,246510,94
70,16,231946,94
71,16,248708,94
72,16,245724,94
